influencer_id,basis,rate,orders,total_payout
236,order,461.7,93,42938.1
237,order,150.98,35,5284.3
238,post,769.59,70,14622.21
239,post,469.45,52,5163.95
240,order,336.59,10,3365.9
241,post,995.31,43,10948.41
242,post,259.0,33,2072.0
243,order,479.97,57,27358.29
244,order,352.33,91,32062.03
245,order,215.72,25,5393.0
246,order,380.05,22,8361.1
247,post,778.97,48,5452.79
248,post,321.81,24,2574.48
249,post,674.84,96,4049.04
250,order,369.56,62,22912.72
251,order,251.75,76,19133.0
252,order,170.69,81,13825.89
253,order,477.91,67,32019.97
254,post,385.81,89,6172.96
255,order,236.45,69,16315.05
256,order,214.1,87,18626.7
257,order,227.43,95,21605.85
258,post,962.81,88,10590.91
259,post,851.19,64,6809.52
260,post,544.43,31,4899.87
261,order,330.06,46,15182.76
262,order,139.79,10,1397.9
263,order,166.24,81,13465.44
264,order,209.54,31,6495.74
265,order,189.45,91,17239.95
266,post,430.78,71,6461.7
267,order,495.52,56,27749.12
268,post,939.61,27,14094.15
269,order,156.4,11,1720.4
270,post,641.73,95,11551.14
271,post,221.88,79,1553.16
272,post,967.89,11,7743.12
273,post,205.33,18,1642.64
274,post,495.63,92,2973.78
275,order,476.72,11,5243.92
276,order,392.84,98,38498.32
277,post,864.83,59,6918.64
278,order,467.2,86,40179.2
279,post,555.52,11,3333.12
280,order,297.3,37,11000.1
281,post,891.6,97,9807.6
282,order,392.65,30,11779.5
283,post,974.75,35,11697.0
284,post,795.42,39,7158.78
285,post,781.89,77,14074.02
286,order,162.69,37,6019.53
287,order,210.44,42,8838.48
288,post,765.45,13,5358.15
289,order,456.91,65,29699.15
290,post,546.7,92,4920.3
291,order,176.16,33,5813.28
292,post,959.35,46,17268.3
293,post,396.73,68,5554.22
294,order,448.85,89,39947.65
295,post,738.68,76,10341.52
296,order,288.05,86,24772.3
297,order,425.55,46,19575.3
298,order,213.04,61,12995.44
299,post,707.82,78,4246.92
300,post,960.67,37,6724.69
