influencer_id,platform,date,url,caption,reach,likes,comments
228,Twitter,2025-04-25,http://www.simmons.biz/,Seat open bag line story simply check large.,125421,18788,5018
10,YouTube,2025-05-18,http://fox-neal.com/,Usually hour goal continue road.,88371,15925,3432
232,Instagram,2025-07-02,http://www.lewis.com/,Live audience modern provide rock.,74715,14588,2541
205,Instagram,2025-07-14,https://www.hodge.com/,Audience option case hope range worry other.,40374,4148,1337
142,Twitter,2025-05-17,http://newman.com/,Law later character green.,97707,8003,3543
233,Instagram,2025-07-19,http://williamson-parks.com/,Main place child generation.,95900,8020,1374
196,Instagram,2025-05-28,https://scott.com/,Back job save maybe type federal.,67569,11946,1669
233,Instagram,2025-05-15,http://www.cook.com/,To member think protect so fight pick.,44791,7363,1476
136,Instagram,2025-07-21,https://www.anderson.net/,Popular natural build economic media natural these night.,60660,10377,2657
189,YouTube,2025-05-29,http://bryan.com/,Notice event outside sure want run audience while.,50679,9942,2165
221,Twitter,2025-05-27,https://hawkins-brennan.com/,Talk represent nor than different finish fire.,61060,8672,2180
144,Twitter,2025-06-06,https://martin-jackson.com/,Large director film late seem generation.,48865,2635,2304
102,Instagram,2025-07-11,http://davila.biz/,Get process mission read into manager specific.,75612,13188,1565
100,YouTube,2025-05-19,https://wilson-hood.com/,Line sign leave yes nature.,80511,6204,3068
58,Instagram,2025-05-15,https://www.andrews-torres.com/,Whose maybe what enter apply.,89818,8653,2119
224,Twitter,2025-07-03,https://porter-mcdonald.info/,Decade somebody huge hope.,114290,5819,5119
201,Twitter,2025-07-11,https://miller.com/,Production appear want project data.,38125,5144,992
262,YouTube,2025-05-27,https://www.alvarez.biz/,Financial beautiful practice.,26804,1910,946
64,Twitter,2025-05-16,http://burke-hensley.com/,There community arm head husband ago.,83664,4567,3333
49,Twitter,2025-04-26,http://www.murphy.net/,Increase offer same single far.,9324,767,249
12,Instagram,2025-06-25,https://www.arroyo-solis.biz/,Kind could see.,126376,12780,3134
92,Twitter,2025-05-13,http://www.hall.com/,Before change car degree full cost.,203250,32162,8348
297,Twitter,2025-05-30,https://www.chavez.com/,Can fine eye side quite around.,130641,17654,1750
102,Instagram,2025-06-05,https://reid-hebert.info/,Any behavior option evidence.,108831,6300,1773
156,YouTube,2025-05-22,https://barrera.com/,Later side result class well bed area.,49434,7053,1827
35,Twitter,2025-05-19,https://hunter.com/,Customer their appear some how.,115393,10479,4209
57,YouTube,2025-06-07,http://mason.com/,Suggest issue nor reach others.,65023,7988,1799
33,YouTube,2025-07-02,https://www.ortiz-williams.net/,Way strategy back inside.,136572,12424,5489
120,YouTube,2025-07-17,http://www.green.com/,Herself factor pattern contain large form.,75417,5058,2051
218,YouTube,2025-05-12,https://pennington-cruz.org/,Let explain think world lot.,76639,7088,2846
108,YouTube,2025-06-03,http://mullen-cooley.com/,Brother for four avoid.,9424,1159,345
281,YouTube,2025-07-10,http://www.barton.com/,Water culture idea material accept head.,112038,6365,2891
283,YouTube,2025-05-22,http://www.rogers.net/,Economy of strategy gas.,86499,12101,891
16,YouTube,2025-07-17,https://www.brown.com/,Seven minute nation friend including full then poor.,24247,2308,447
216,YouTube,2025-06-15,http://moore.com/,Travel talk travel hope might street upon office.,13079,923,264
167,Instagram,2025-05-05,http://rivera.org/,Though paper capital fund leg trip.,30880,3063,318
86,Twitter,2025-05-02,https://carr-scott.org/,Security though national there.,10974,1778,186
77,YouTube,2025-04-24,https://www.noble.com/,Along turn system exist.,49707,5320,1896
220,YouTube,2025-07-16,http://www.hill-fleming.com/,Factor though five opportunity structure.,85457,10685,3703
183,YouTube,2025-05-25,http://wilson.com/,Interest voice fear large camera their program.,79802,13640,1028
33,YouTube,2025-07-16,http://martinez-gray.com/,Man key floor.,56439,10117,659
167,Instagram,2025-05-08,https://hodges.biz/,Same subject sport trial describe approach.,18939,1000,887
192,Instagram,2025-06-02,https://buckley.com/,Father along same simply five wish yourself TV.,14569,2612,481
251,Twitter,2025-04-26,https://hughes-rivas.com/,Wish coach reduce activity common season child.,30050,4087,1153
237,Twitter,2025-07-15,http://walker.com/,Sister kid energy mean always wife.,67032,7551,979
221,Twitter,2025-04-25,http://pineda.com/,Teach summer rock often avoid civil.,65659,3488,1509
50,Instagram,2025-06-06,https://yates.com/,Ahead summer art.,29945,5096,1039
184,Twitter,2025-04-26,https://www.gutierrez.com/,Blue suggest carry industry place.,140738,24601,6585
95,Twitter,2025-06-06,https://bryan.biz/,Show trade dog security as black.,31171,1970,1364
130,YouTube,2025-04-30,https://guerrero-huerta.com/,Professor woman lawyer.,46156,3992,1548
155,YouTube,2025-06-12,https://daniel.net/,Respond type thank near.,56634,7282,1462
58,Instagram,2025-06-28,http://www.wilson.com/,Account gun huge explain.,108236,10449,2552
221,Twitter,2025-04-24,http://dunn.com/,Test lead treatment admit close history last.,98226,9818,1642
191,Instagram,2025-04-29,https://www.maynard.net/,Member represent cost must what.,5106,646,74
70,YouTube,2025-07-02,https://www.smith.info/,Trade chair agency.,62311,7881,2881
278,Twitter,2025-06-29,https://nelson-robbins.com/,Article social free.,77001,7885,3010
184,Twitter,2025-05-05,http://www.ryan-jackson.net/,Clearly moment agent program tough raise.,140045,24205,5966
227,Instagram,2025-06-14,http://rios-spencer.org/,Interesting face probably party population.,85161,7276,1350
271,Instagram,2025-04-28,https://www.gonzales-knight.biz/,Reflect although face party push true.,75272,5990,2566
65,Instagram,2025-05-10,http://burch.org/,Strategy human lay thought before.,55186,9052,1998
50,Instagram,2025-07-05,https://burnett-walker.com/,Station very general away them argue become far.,42219,3232,1727
208,Instagram,2025-06-18,http://alexander.org/,Important serve shake fine write.,61211,7597,2459
245,Twitter,2025-06-23,http://www.sutton.com/,Not baby true structure art world expect.,43813,7184,1224
162,YouTube,2025-06-04,http://www.moore-price.com/,Degree else outside may administration economy.,56163,10593,1829
286,Twitter,2025-04-30,https://weber.com/,Dog particular little mother camera other hair.,54936,7981,1921
239,Instagram,2025-05-11,https://lopez-williams.com/,Newspaper agree worker us book.,135910,24414,4768
194,YouTube,2025-06-25,https://www.austin.org/,Present piece season reason star simply know.,155914,11326,1985
293,Instagram,2025-05-20,http://garrett.com/,Down right film top.,60610,7050,1340
179,YouTube,2025-06-10,https://friedman.org/,Hour particularly company no than language west.,142280,12976,1742
16,YouTube,2025-06-23,https://www.martinez-shea.com/,Hand particular center level yard couple collection agree.,33803,4262,757
81,Instagram,2025-07-11,https://villarreal.org/,Its number forget nature statement thought.,15984,1882,196
210,Instagram,2025-07-21,http://www.sandoval.net/,Why soldier indicate travel despite.,30936,5406,404
133,Instagram,2025-07-11,https://www.kelly.com/,Reason forget Republican wonder.,43540,7821,1924
258,Twitter,2025-07-01,https://baker-perkins.net/,Both story white.,6550,931,198
265,Twitter,2025-07-13,https://www.martin.com/,Seven which pull consumer analysis.,20731,2475,666
281,YouTube,2025-06-12,https://roberts.com/,Somebody mean wear decade fact market.,104616,17656,4795
14,Twitter,2025-05-10,http://martinez-warren.info/,Effort watch trial play certain relationship.,85269,10015,3614
40,Instagram,2025-07-14,https://myers.info/,Gun budget institution human floor member.,173961,25707,3976
268,Instagram,2025-06-20,http://www.shelton.com/,View discover suddenly I identify.,20943,2541,335
126,Instagram,2025-06-09,https://www.dillon.com/,Crime record again color hospital soldier middle stage.,5263,311,74
110,Twitter,2025-07-04,http://www.russell.org/,Strategy candidate coach follow.,112564,20809,2671
125,Twitter,2025-07-18,https://bailey-meyers.info/,Everybody support case trade.,186549,29315,5630
268,Instagram,2025-05-14,http://hardy.com/,Environment house say all reduce ever.,23956,1817,476
192,Instagram,2025-05-25,https://www.harris.org/,See contain indeed more require improve account.,19713,2280,543
259,Instagram,2025-07-04,https://www.hill.net/,Enjoy trouble two everything father.,31533,4049,515
268,Instagram,2025-06-24,http://www.johns.info/,Affect mention community discover.,21506,2278,458
283,YouTube,2025-05-22,http://www.zhang.org/,Admit must pattern large.,143094,15928,3367
236,Instagram,2025-06-10,http://montgomery.com/,High alone thing wrong enter.,45120,6302,1875
207,YouTube,2025-06-30,https://www.ross.com/,She town sort set leader.,82796,12178,1046
62,Instagram,2025-06-12,https://www.hunter.com/,Strategy truth federal audience rock tell turn bed.,11119,713,412
209,Twitter,2025-06-29,http://jones.org/,Painting travel hear position letter energy voice woman.,44368,4109,1728
144,Twitter,2025-05-01,http://www.lee-dodson.com/,Ball air least idea point middle unit.,102443,15211,4738
98,YouTube,2025-07-12,http://www.cox.org/,Out whom although industry.,115290,20866,2690
279,Instagram,2025-05-15,https://miller-boyd.net/,Back perform million herself summer next.,44407,6102,695
137,Twitter,2025-05-18,http://www.schmidt.com/,Fall measure yet religious them consumer our.,62155,6369,3027
300,Twitter,2025-06-20,http://duran.com/,Big special hard citizen sea.,16449,2545,422
272,Instagram,2025-07-13,http://www.matthews.info/,Help husband stuff major forward.,40971,5705,1946
233,Instagram,2025-05-17,https://www.brown.com/,How ball later give.,63870,6159,1601
75,YouTube,2025-07-19,http://morris-harris.net/,Day hold ten development.,131876,22253,5608
244,Twitter,2025-05-11,http://www.haas.com/,So heavy cause possible everything.,8051,1211,347
128,Instagram,2025-05-16,http://vaughn.com/,Company think statement who guy hour can store.,95171,15305,3560
32,Twitter,2025-07-19,http://peterson-brown.org/,Remember audience style may.,57609,7429,2064
182,Instagram,2025-06-17,https://www.wood.com/,Painting paper official other camera.,45609,5177,1116
21,Instagram,2025-06-25,http://www.sutton.com/,Affect each attention join show despite matter.,90554,9452,1558
69,Instagram,2025-06-02,https://www.gonzalez-roberts.com/,Hotel real price guy factor.,46170,3791,2211
86,Twitter,2025-06-01,https://www.lawrence-rosario.com/,Although high product.,13563,1667,258
295,YouTube,2025-06-03,https://www.baker-perez.biz/,Purpose human security relationship.,56554,3994,740
255,Twitter,2025-07-21,http://www.curtis-montgomery.com/,Sound family interesting hundred.,57145,10095,802
236,Instagram,2025-05-04,https://hoffman.org/,Lawyer cold make employee become cost.,62691,10383,2721
183,YouTube,2025-06-13,https://smith-blake.com/,During which authority where budget everything.,80458,14687,926
276,YouTube,2025-07-08,http://roman.com/,Manage home prevent growth.,57036,5732,2318
219,YouTube,2025-07-07,https://www.ayala.org/,Similar professional expect hand hour.,59695,4158,1496
114,YouTube,2025-05-15,http://green-ibarra.com/,During number when would nice be career add.,60393,4489,2612
134,Instagram,2025-05-22,http://bennett.com/,Personal final prevent what.,70942,11752,3005
236,Instagram,2025-05-12,http://www.hurst-bridges.com/,Three under authority.,124876,9344,3434
79,Twitter,2025-07-09,http://sandoval-bradley.biz/,Result close decision interest.,6492,724,240
236,Instagram,2025-05-15,http://johnson.biz/,Recognize senior politics body plan join program.,116825,10003,3243
49,Twitter,2025-06-30,http://www.green.com/,Another share debate mission visit list.,8188,759,327
118,Instagram,2025-06-08,https://stephens.com/,Economic quality pattern however hand.,115940,13604,3635
31,Twitter,2025-06-07,https://payne.com/,Seek window heart fight coach walk short.,48850,4710,2068
161,Instagram,2025-05-30,http://www.rodriguez.com/,Suggest thousand else perhaps hold.,73617,8859,3195
217,Twitter,2025-04-23,http://rangel.info/,Continue PM treatment special.,37222,3914,1782
130,YouTube,2025-05-17,https://bishop-gallegos.info/,Follow whose military sometimes vote admit.,85807,16961,2442
110,Twitter,2025-07-06,https://www.davis.com/,She summer network movie name box through.,87081,8034,2200
96,YouTube,2025-04-29,https://www.rivera.info/,Water worry program where pay land myself.,2688,347,130
83,Instagram,2025-05-22,http://www.davis-cooper.com/,Or eight late step notice.,95743,16518,4026
79,Twitter,2025-04-30,https://harris.com/,Project how today other anyone Mrs one.,2615,185,52
148,YouTube,2025-05-30,http://www.rosales.org/,Listen media care thus offer energy each.,72560,10606,3262
96,YouTube,2025-06-01,http://gordon-jones.org/,She may class heart politics.,6166,821,86
126,Instagram,2025-06-05,http://www.burgess.org/,Activity already much dark moment improve trip.,8773,1551,386
30,YouTube,2025-06-08,https://www.berry.com/,Happy check sea admit hold born.,33276,3086,1348
13,Twitter,2025-05-07,https://www.jimenez.com/,All rock list goal shake.,189998,17274,8780
214,YouTube,2025-04-28,https://www.smith-mcmillan.com/,Knowledge hour unit difficult nothing ground.,59327,4277,1631
290,Twitter,2025-05-02,https://www.brown.com/,Paper building free standard require.,54593,10479,1030
270,YouTube,2025-06-05,http://burke-alexander.org/,Recognize that majority after where.,49786,5858,1194
61,YouTube,2025-06-07,https://www.torres.info/,Book think newspaper ability both challenge mean.,33419,1804,405
84,Instagram,2025-04-27,http://www.powell.com/,Finally at assume ago two.,12718,1593,247
225,YouTube,2025-07-18,http://bruce.biz/,Thing music use old ever buy.,72334,14407,1808
13,Twitter,2025-07-05,http://matthews-sullivan.com/,Community impact growth either discover team.,171164,9281,8084
200,Instagram,2025-04-25,https://www.bennett.com/,Practice stay grow different dog parent.,136980,24091,4931
169,YouTube,2025-06-18,https://robertson.org/,Democrat entire middle nearly.,140595,23719,2179
90,Instagram,2025-06-11,https://stevens.com/,Couple ball election image party home increase.,15815,1471,683
133,Instagram,2025-07-02,http://www.simon.org/,Whose fire discussion Mr deal prove.,64589,9973,1004
20,Twitter,2025-05-11,https://rubio.org/,Military matter eight.,69163,10777,1932
114,YouTube,2025-06-17,https://www.fernandez.com/,Together believe miss hair difficult describe fish natural.,176154,8946,2319
90,Instagram,2025-06-22,https://www.hull.com/,Single sing own walk hand many possible.,30562,2701,1326
153,Instagram,2025-05-18,https://www.davis.net/,Party organization arrive friend quality chance trial.,68990,9128,2696
64,Twitter,2025-05-27,https://www.perez-swanson.com/,Young pick American.,119450,15428,1725
90,Instagram,2025-07-10,https://casey-davis.com/,Which particularly seven protect student heavy.,44150,4115,973
62,Instagram,2025-07-16,http://www.nichols-jones.org/,Course hit watch allow.,20051,1146,537
125,Twitter,2025-06-25,https://hansen-mclaughlin.com/,Whole ability point himself.,201551,34079,5700
91,Instagram,2025-05-18,http://www.anderson-dunn.com/,Local trip goal range.,46132,3073,2131
245,Twitter,2025-07-19,https://donaldson.biz/,Statement simply hand third modern role what.,38593,5384,411
141,Instagram,2025-07-03,http://jones.com/,Cover their yeah west authority employee may.,30018,3821,590
71,Twitter,2025-06-19,https://garcia.com/,Sit room pull why apply street suffer.,11708,837,318
34,Twitter,2025-05-16,https://morris.com/,System morning question begin hundred can.,3661,520,71
252,Instagram,2025-06-18,http://benitez-johnson.com/,Probably without option expect.,116048,13053,4244
25,Twitter,2025-04-25,http://johnson.com/,Medical including series arm center.,154104,9684,7548
103,Twitter,2025-06-27,http://www.daniels-torres.info/,Today network own around.,27573,1658,855
224,Twitter,2025-06-25,https://haynes-owens.com/,Serve watch play understand forward rise really.,91575,11547,4536
154,Twitter,2025-06-11,http://www.harris-krause.com/,Remember plan four we force word people.,54140,7207,1386
280,Instagram,2025-05-26,https://www.chapman-brady.com/,Help get away traditional environmental.,26585,3204,941
58,Instagram,2025-06-13,https://johnson.com/,Born summer value me reality program plant.,37805,7453,761
107,Twitter,2025-07-10,http://hensley.org/,Attention bar writer today land method put.,49585,2600,2059
269,Twitter,2025-06-25,https://www.charles.com/,Training partner perhaps recognize fast game work however.,108111,10997,4250
286,Twitter,2025-06-19,http://rodgers.com/,Take sound draw hotel measure first hundred third.,102533,14789,4189
176,YouTube,2025-06-13,https://www.perry-sanchez.biz/,Military indeed later effort they level.,26032,4172,606
293,Instagram,2025-05-18,http://young.com/,Cover draw writer gas beat face either.,53201,3013,1693
121,YouTube,2025-04-29,http://www.walls.biz/,Hit happy left suggest station environment.,87729,15091,1491
255,Twitter,2025-07-11,https://cox.com/,Company different season research day nor.,45659,7619,1305
37,YouTube,2025-07-15,http://gregory.com/,Address federal soldier sign and.,48282,7450,1702
284,Instagram,2025-06-21,http://ortiz-gonzalez.com/,Space fine get.,110103,18907,1378
177,Twitter,2025-07-17,http://edwards.biz/,Mean prevent position expect now.,44539,7412,1260
45,Instagram,2025-07-14,https://www.palmer.com/,Me outside think shoulder leader.,11404,1072,134
86,Twitter,2025-07-20,http://howard.com/,Decision style Mrs any.,6085,486,71
85,Instagram,2025-05-07,http://www.hood.info/,Maintain even week pay run teacher morning million.,90841,17260,2781
150,Twitter,2025-07-19,http://hernandez.com/,Allow go protect skin.,91859,18221,2913
26,Twitter,2025-05-08,http://martinez-cortez.org/,Senior force reach attack.,44790,3941,1797
258,Twitter,2025-04-30,https://gonzalez.com/,Wear doctor century tell expect parent.,6761,531,164
198,Instagram,2025-04-23,http://www.meyer.net/,Item focus produce value sit peace.,49364,8250,2203
71,Twitter,2025-06-01,https://www.richard-maldonado.com/,Including it team performance improve beyond some strong.,5348,533,80
35,Twitter,2025-07-14,http://www.green.com/,Drive heavy impact across when fight throughout understand.,136667,14377,6229
55,Twitter,2025-07-14,https://house.info/,West character half work.,63107,10191,2889
213,Twitter,2025-06-18,https://www.hart.com/,End imagine medical full chance.,48429,5230,2370
138,YouTube,2025-04-27,https://www.wilson.com/,Letter majority way measure begin rather.,114774,14281,3431
199,Twitter,2025-06-29,https://www.wolfe.com/,Level reduce condition wide.,126774,23915,3900
83,Instagram,2025-07-11,https://www.boyd.com/,Make system rock economic side production maybe.,89346,15204,3491
85,Instagram,2025-06-28,http://allen-hess.com/,Expert author figure easy plant himself scene.,28014,1732,955
138,YouTube,2025-05-17,https://www.williams.info/,Second improve left understand.,134969,23397,4294
181,Instagram,2025-06-11,https://www.holmes-bailey.com/,Very role some evidence western feeling class.,184752,18139,2439
37,YouTube,2025-04-29,http://henry.biz/,Policy foreign response song eat media image teacher.,46293,6904,1030
213,Twitter,2025-06-24,https://melendez.org/,Power health at special certainly news out especially.,128905,18097,3486
171,Twitter,2025-07-20,http://www.duarte.org/,Music necessary mouth energy woman loss.,20427,3134,491
226,Instagram,2025-06-27,https://perez.biz/,Key way bill onto.,120802,6807,5412
229,YouTube,2025-04-25,https://nelson.com/,Mouth boy radio yourself shoulder owner available.,28289,2910,1412
190,YouTube,2025-07-20,https://www.arnold.com/,Serious instead bring reason main.,54638,4982,2688
48,Instagram,2025-05-03,http://www.davis.info/,Say painting base radio low.,50640,9732,658
61,YouTube,2025-06-27,https://griffith.net/,Type action matter medical image.,19574,2850,480
206,Instagram,2025-06-18,https://ramsey.net/,Prevent nor fast industry.,70957,12074,2637
192,Instagram,2025-05-06,http://cox.com/,Fight military road finally thought.,16902,3260,265
39,Twitter,2025-05-26,https://www.johnson.biz/,Wear though improve establish such.,47725,6735,1968
94,Instagram,2025-07-01,https://smith.com/,From strategy collection accept.,30868,1704,391
50,Instagram,2025-07-09,https://powell-sanchez.info/,Under remain person air method them nearly.,42045,7012,1036
201,Twitter,2025-06-25,http://velasquez.com/,Newspaper close apply international.,40525,4353,1324
26,Twitter,2025-05-16,https://daniels.com/,Big himself create generation.,49552,6975,1841
136,Instagram,2025-06-04,http://parks.com/,Parent him a task look.,65449,12587,1628
123,Twitter,2025-04-29,http://steele.com/,Director art scientist coach.,52206,8585,1720
157,Twitter,2025-06-01,http://campbell-brown.net/,Save my oil member true break.,129046,16701,3345
226,Instagram,2025-06-22,https://www.evans.com/,Road chance especially hold.,111885,16495,2235
120,YouTube,2025-05-24,http://schmidt.net/,Able hair generation staff official.,73259,4909,2888
97,Instagram,2025-05-13,http://www.bowman.com/,Vote later behind enjoy service.,53107,6630,1353
82,YouTube,2025-05-18,http://www.barrett-hatfield.net/,Than eight pressure three listen five add.,15344,2059,314
106,Twitter,2025-07-04,http://knight.com/,Growth edge side.,50534,4499,1407
136,Instagram,2025-04-27,http://martin-shannon.info/,Soon rich focus memory room realize.,104157,20774,2231
61,YouTube,2025-05-27,http://king.org/,Onto also large responsibility little.,53048,9945,1572
143,Twitter,2025-05-15,https://www.jacobs.com/,Assume TV risk.,35067,2398,1546
42,Twitter,2025-05-10,https://moore.info/,No your vote soon letter.,30831,3632,1416
158,Instagram,2025-07-14,http://www.farley.net/,State by half provide team increase mouth.,135879,15866,1835
111,YouTube,2025-07-04,https://roberts.com/,Impact none billion person soldier.,21145,3220,926
65,Instagram,2025-06-03,http://www.hobbs-davidson.com/,Debate spend Mr wrong.,59365,5814,1418
63,YouTube,2025-06-09,https://www.malone-williams.info/,Customer red sport determine.,85297,5095,2702
254,YouTube,2025-07-14,http://www.brown.org/,College maybe material born.,76494,14051,3369
142,Twitter,2025-06-30,https://www.christensen-kennedy.net/,Evening outside drug between.,115029,18033,5417
166,Instagram,2025-06-19,https://hudson.com/,Move source rise song.,52576,7657,2194
209,Twitter,2025-06-26,https://www.beck.com/,Free little often time.,86586,10936,1286
122,YouTube,2025-05-15,http://lewis.com/,Kind oil commercial upon economy prepare what.,39240,3144,610
78,YouTube,2025-05-09,http://www.stewart.com/,Through consider agent example away.,47934,8079,529
45,Instagram,2025-07-17,https://cervantes-parker.org/,Party follow how.,21975,2924,544
28,Instagram,2025-04-27,http://www.olson-mitchell.com/,Write receive third including to final be control.,75918,12947,2434
146,Instagram,2025-07-21,https://www.perry.com/,Fear political pull pattern watch.,96993,13752,1304
223,YouTube,2025-04-23,https://williams.info/,History according week.,52873,5096,2642
189,YouTube,2025-05-02,https://www.phillips.net/,National value boy avoid speak hit.,107228,16923,3327
131,Instagram,2025-05-21,https://williams.com/,Attention institution environment east wall.,125395,20737,5383
161,Instagram,2025-07-19,http://www.smith.info/,Author program should talk unit newspaper class door.,27780,1696,1358
162,YouTube,2025-06-23,http://www.west.com/,Open rest Democrat than.,184985,27072,5179
96,YouTube,2025-06-17,https://www.bryant-turner.biz/,Particularly answer table.,6819,1036,162
79,Twitter,2025-05-05,https://smith.com/,Alone lay many him.,4280,777,176
211,Twitter,2025-06-08,https://www.hart-lee.com/,Stop approach painting keep.,44469,6491,768
203,Instagram,2025-05-09,https://rodriguez.info/,Theory baby indicate mention range.,44112,8599,1204
181,Instagram,2025-05-14,https://townsend.net/,Police too employee.,70632,13180,862
178,Twitter,2025-07-12,https://freeman.com/,Know behind nation.,27432,1882,442
37,YouTube,2025-07-20,http://www.moore.com/,However security question institution goal fall.,36717,2742,841
176,YouTube,2025-06-05,http://cole.com/,Build probably involve feel ball least.,45253,7077,1078
16,YouTube,2025-06-09,http://pearson.com/,Dinner various paper great inside lose.,38111,7284,1745
178,Twitter,2025-07-11,http://www.west.com/,Glass up top require.,25922,4585,519
276,YouTube,2025-06-15,http://brown.com/,Although challenge serve again although likely expert road.,147406,21411,4721
91,Instagram,2025-06-28,https://www.morgan-barnes.com/,Plan later police.,36709,2524,811
32,Twitter,2025-06-20,https://www.wilson-martinez.com/,Provide recognize majority billion green world individual.,135002,17553,4063
202,YouTube,2025-06-10,https://www.white.com/,Door health social summer apply education trial.,115775,8717,5518
145,Twitter,2025-06-18,https://shelton.com/,Myself daughter forget view college fact yourself.,94630,6920,3439
69,Instagram,2025-06-17,http://walker.com/,Decade carry until beat thought.,53615,8476,1833
186,Twitter,2025-06-16,https://wang-dunn.com/,Child establish crime fact situation raise.,140934,24857,4586
66,Twitter,2025-06-25,https://www.macdonald.com/,Window paper though risk remain kind oil.,22548,3918,251
84,Instagram,2025-06-09,https://www.hurst.org/,Watch fall spring everyone card fear learn.,11580,657,412
88,Instagram,2025-07-19,http://www.jefferson-keller.net/,Pretty attorney arrive nice.,92869,12678,3347
249,YouTube,2025-04-24,http://www.brooks.com/,Ability experience one describe court hear.,45852,7567,1222
65,Instagram,2025-05-12,https://www.sanchez-walker.info/,Suggest glass there learn.,84715,12355,2534
134,Instagram,2025-05-09,https://www.allen-hooper.com/,Reflect defense agent.,94970,13682,2050
63,YouTube,2025-06-09,http://martin-smith.net/,Movement near human election writer.,69843,13514,2047
220,YouTube,2025-07-04,http://valenzuela.com/,Real condition thank along product government blue.,41915,7155,1567
112,YouTube,2025-07-08,http://anderson.org/,Other analysis piece.,42481,4019,548
294,Instagram,2025-05-10,https://cummings.com/,This change always drive.,131922,7781,3638
71,Twitter,2025-04-25,http://hernandez.com/,Building onto administration degree.,5211,639,94
126,Instagram,2025-06-02,http://long.com/,Fund color election space fall case glass.,5313,749,119
121,YouTube,2025-06-08,http://www.robles-lawrence.com/,And small pass in.,42895,6766,1688
135,Twitter,2025-06-25,http://summers-boyd.info/,Possible themselves catch know as.,124141,22235,6084
122,YouTube,2025-07-14,http://www.graham-jones.com/,Campaign threat among loss could become can difficult.,25257,1758,626
296,Instagram,2025-04-29,http://byrd.org/,Next bad claim.,6002,805,136
57,YouTube,2025-07-03,http://browning.com/,Woman partner sort court Democrat well democratic.,125209,15021,2591
38,YouTube,2025-07-06,http://meyer-brown.org/,Challenge hold civil after almost.,142554,12428,1977
164,Instagram,2025-06-08,https://spears.biz/,Support team ago require finish despite color.,113609,10626,2881
23,Twitter,2025-07-11,http://bailey.info/,Yeah arm eye red bring measure rich plan.,9886,1406,197
130,YouTube,2025-05-23,http://andrade-johnston.com/,Determine hear four yes.,143158,25739,2346
278,Twitter,2025-05-14,https://www.archer.info/,Glass order they weight.,54182,5370,1793
67,Instagram,2025-06-14,https://newman-huynh.com/,Growth especially a current church culture visit.,16025,1552,649
69,Instagram,2025-05-08,http://www.smith.biz/,Policy indicate fight lose.,26157,3262,800
123,Twitter,2025-06-07,https://adams-webster.net/,Career spring gas forget space reach grow.,90162,11253,2014
234,YouTube,2025-06-21,https://www.crosby.com/,Gas apply ever reduce phone speech.,90716,4851,4337
85,Instagram,2025-04-26,https://www.henderson.com/,Forward example ahead huge.,61939,7792,3014
163,YouTube,2025-06-11,http://brown-warren.com/,City pattern change picture office.,163411,13444,3940
