source,campaign,influencer_id,user_id,product,date,orders,revenue
HKVitals,HKVitals_Campaign_5,250,fa7a14be-f420-42a4-b3c5-f4d2f269ea5c,HKVitals Product 8,2025-06-30,3,2149.99
HKVitals,HKVitals_Campaign_1,77,983afd43-133e-4e1f-b2d3-158136fabd19,HKVitals Product 2,2025-06-18,4,5071.76
MuscleBlaze,MuscleBlaze_Campaign_4,52,9e8c0b06-a7e0-41c1-ba63-5b8d526613e4,MuscleBlaze Product 6,2025-06-26,3,5344.74
Gritzo,Gritzo_Campaign_2,177,3b5696b1-55e2-4614-846c-8349a41841fe,Gritzo Product 8,2025-06-04,4,3751.05
HKVitals,HKVitals_Campaign_5,20,e26ad4da-c696-4596-bff2-95426b8f628b,HKVitals Product 10,2025-07-18,2,2127.19
HKVitals,HKVitals_Campaign_2,113,06a06fd8-89c3-40f2-9ac5-f3e6dd617399,HKVitals Product 6,2025-05-24,3,2326.97
HKVitals,HKVitals_Campaign_3,46,3f55a4e5-b985-4094-bdc5-de91886a52af,HKVitals Product 2,2025-06-30,1,656.75
MuscleBlaze,MuscleBlaze_Campaign_1,132,4b632018-9a69-4891-ba28-4f85029a0e6d,MuscleBlaze Product 7,2025-06-20,3,5146.42
MuscleBlaze,MuscleBlaze_Campaign_2,262,e112c984-3d9f-4235-8143-13775469d0a7,MuscleBlaze Product 10,2025-06-25,3,1607.42
MuscleBlaze,MuscleBlaze_Campaign_2,300,4b80458c-81eb-4fd1-8d71-9558e5c1759b,MuscleBlaze Product 4,2025-05-28,4,3938.28
HKVitals,HKVitals_Campaign_5,45,2c2cabe9-294c-4665-ae92-5b99b660e196,HKVitals Product 7,2025-05-26,3,5002.71
MuscleBlaze,MuscleBlaze_Campaign_4,243,dcb63225-3cf8-4ee1-9949-4597fa355507,MuscleBlaze Product 1,2025-07-01,4,4597.42
MuscleBlaze,MuscleBlaze_Campaign_5,101,8576d6e6-8dd1-4795-93e1-e00e100eb368,MuscleBlaze Product 3,2025-06-19,4,7197.77
MuscleBlaze,MuscleBlaze_Campaign_3,126,054ea6ec-527d-4b94-9d7e-516992d22269,MuscleBlaze Product 4,2025-07-15,1,518.03
Gritzo,Gritzo_Campaign_3,255,977a1d74-bc1e-4e09-b68c-004ac40b970e,Gritzo Product 5,2025-06-27,3,2032.2
HKVitals,HKVitals_Campaign_3,175,f709c7cc-1323-453e-9eaa-97094aaec980,HKVitals Product 7,2025-07-07,4,5282.87
HKVitals,HKVitals_Campaign_2,158,92389380-b719-4f96-8443-440d40e5e13e,HKVitals Product 5,2025-06-23,3,1816.67
HKVitals,HKVitals_Campaign_5,191,1b0515f3-7e4b-4f74-a22d-b457e3a6761c,HKVitals Product 5,2025-07-19,3,4691.25
Gritzo,Gritzo_Campaign_5,168,1b9137fa-7a15-4af2-886d-8609b2c15ab0,Gritzo Product 7,2025-05-30,1,516.97
MuscleBlaze,MuscleBlaze_Campaign_5,174,6b5af568-a4ee-40e9-8c67-4e6ce8220583,MuscleBlaze Product 1,2025-07-09,2,2889.32
Gritzo,Gritzo_Campaign_5,175,22a3460d-f93f-43ac-b931-0c3b9e191b45,Gritzo Product 6,2025-06-15,2,3040.15
Gritzo,Gritzo_Campaign_5,41,313aa968-b3c1-4d92-9d1c-59d549a735fa,Gritzo Product 10,2025-06-04,3,3591.27
HKVitals,HKVitals_Campaign_1,249,c3238b57-658c-4779-9db9-b140ececd38d,HKVitals Product 5,2025-05-26,4,2767.01
HKVitals,HKVitals_Campaign_3,26,bb1709f1-f1b2-4375-ad4a-818609415cdb,HKVitals Product 2,2025-06-21,2,1567.68
HKVitals,HKVitals_Campaign_3,202,468d1b76-1a91-4862-92c8-3179e9f4ccde,HKVitals Product 6,2025-06-15,1,585.28
HKVitals,HKVitals_Campaign_2,20,95ec2a1b-7cea-4153-8503-126707b2895d,HKVitals Product 5,2025-06-26,2,1826.23
MuscleBlaze,MuscleBlaze_Campaign_2,230,a5da810b-d9be-462a-86d7-025b95a399e7,MuscleBlaze Product 9,2025-07-19,2,3274.02
MuscleBlaze,MuscleBlaze_Campaign_4,73,00f0ca9f-80a7-4a7a-9a2b-433535cd7fc4,MuscleBlaze Product 10,2025-07-10,2,2824.46
Gritzo,Gritzo_Campaign_2,283,3d7c414c-077e-4772-80fe-76f8198a40a6,Gritzo Product 6,2025-07-07,4,3936.55
Gritzo,Gritzo_Campaign_4,256,9ba1ecde-6c13-4fcd-bf35-29a7536c0af0,Gritzo Product 1,2025-06-10,4,5606.2
HKVitals,HKVitals_Campaign_4,181,59cd7955-1633-4a77-a20f-9fa52e5f9109,HKVitals Product 5,2025-07-04,1,665.41
HKVitals,HKVitals_Campaign_1,257,c116630d-e7ca-41ae-8693-53e420549d89,HKVitals Product 7,2025-07-13,2,2925.57
Gritzo,Gritzo_Campaign_2,266,851d4a68-f638-4319-b40d-2493470afd3d,Gritzo Product 10,2025-06-01,3,3523.05
HKVitals,HKVitals_Campaign_5,79,90b2b727-7ee6-4267-b127-63bc936055b6,HKVitals Product 4,2025-07-01,2,2423.78
Gritzo,Gritzo_Campaign_3,78,f2879368-15d4-4b91-8a45-6438414f4bd6,Gritzo Product 8,2025-06-19,1,1887.64
Gritzo,Gritzo_Campaign_2,153,a84da792-ee76-4f6a-8ce2-3cbb45a3aef1,Gritzo Product 5,2025-06-01,2,2976.14
Gritzo,Gritzo_Campaign_2,205,845aae52-8058-4ce0-b8cf-059d0b80bb89,Gritzo Product 9,2025-06-03,3,4820.73
HKVitals,HKVitals_Campaign_4,152,b438400e-8a26-4c4e-98f6-a4b01b570686,HKVitals Product 2,2025-07-03,4,6283.08
MuscleBlaze,MuscleBlaze_Campaign_5,211,62721d54-89b4-4cba-994c-d56daa5b209b,MuscleBlaze Product 5,2025-06-16,1,1113.79
MuscleBlaze,MuscleBlaze_Campaign_1,148,3861a07b-4230-485c-b469-cb862ed8367b,MuscleBlaze Product 6,2025-05-26,2,3164.82
MuscleBlaze,MuscleBlaze_Campaign_2,215,643fcdc1-70a7-4289-9edd-c0e0748b7616,MuscleBlaze Product 6,2025-07-02,1,1206.76
Gritzo,Gritzo_Campaign_4,76,a2bb0a54-ad15-4a97-9bc1-b2da15b876af,Gritzo Product 5,2025-07-13,2,2180.2
HKVitals,HKVitals_Campaign_3,13,0f527f4a-04eb-4bca-9f09-af1c749c4e2e,HKVitals Product 6,2025-06-13,3,3546.84
Gritzo,Gritzo_Campaign_4,261,363a09bb-9248-4df2-a3cd-08129bfe2b60,Gritzo Product 5,2025-07-10,3,3844.48
MuscleBlaze,MuscleBlaze_Campaign_1,95,0dd4fb39-382c-437d-8fc1-a8b08e274d59,MuscleBlaze Product 8,2025-06-09,1,1715.2
Gritzo,Gritzo_Campaign_5,23,27f34166-2cb4-4495-a496-95e8c538fbc4,Gritzo Product 10,2025-06-21,2,1415.28
Gritzo,Gritzo_Campaign_4,26,0a10c262-7e78-4496-aadd-e1a25623b708,Gritzo Product 2,2025-07-19,3,5404.52
MuscleBlaze,MuscleBlaze_Campaign_1,48,9d5b1c28-1f4d-4443-9118-d35985a7c4d2,MuscleBlaze Product 9,2025-06-04,2,1356.32
Gritzo,Gritzo_Campaign_5,60,c0da0bce-2759-48ed-b0ee-5c46a7763e5d,Gritzo Product 7,2025-06-28,3,5672.88
HKVitals,HKVitals_Campaign_1,77,30a9116b-59ef-4756-9084-9b445c5b41d8,HKVitals Product 7,2025-07-15,3,3268.45
MuscleBlaze,MuscleBlaze_Campaign_2,23,51b08d8a-e300-419c-8da6-8d40bd1d756a,MuscleBlaze Product 3,2025-06-29,1,1710.41
HKVitals,HKVitals_Campaign_5,135,2dc4044a-8a23-47c1-86f9-a0fc304588b6,HKVitals Product 7,2025-06-12,2,3583.93
HKVitals,HKVitals_Campaign_3,154,5841645c-14a6-414d-9ff3-052b936f7dc3,HKVitals Product 3,2025-06-04,4,6242.23
Gritzo,Gritzo_Campaign_1,191,0c87105d-3365-43c0-a85b-0fb798bc36df,Gritzo Product 3,2025-05-25,3,5803.05
HKVitals,HKVitals_Campaign_2,138,836b288b-8a48-4fbc-a7ac-d9c30e0daa4d,HKVitals Product 6,2025-05-26,1,1057.56
HKVitals,HKVitals_Campaign_1,271,3bf255b0-473f-488d-bc9d-ff5a2a1e7f22,HKVitals Product 1,2025-06-17,2,3454.59
HKVitals,HKVitals_Campaign_2,43,7fc4619f-27f2-4389-ac41-45b507d287b9,HKVitals Product 5,2025-06-29,4,4770.65
MuscleBlaze,MuscleBlaze_Campaign_2,281,84c9be97-e36e-48bf-8ea3-ac0310007c58,MuscleBlaze Product 10,2025-06-26,4,5428.74
HKVitals,HKVitals_Campaign_2,128,d85ba590-76ba-406a-b66f-5536c094b601,HKVitals Product 2,2025-05-27,4,6593.88
Gritzo,Gritzo_Campaign_4,92,a9986996-c724-47d4-85f6-774c2f988358,Gritzo Product 7,2025-07-12,2,3096.68
HKVitals,HKVitals_Campaign_4,147,15f2abf2-b6b1-4008-8d26-8e909671a842,HKVitals Product 7,2025-06-13,3,3931.1
HKVitals,HKVitals_Campaign_1,167,6357b415-0288-41b9-a32a-6949e1cb0237,HKVitals Product 1,2025-07-10,3,2216.55
Gritzo,Gritzo_Campaign_3,30,6d75f9b9-9bcd-46bb-a52b-e9a55c74a5dd,Gritzo Product 4,2025-07-15,1,1151.11
MuscleBlaze,MuscleBlaze_Campaign_5,199,ac2f8a71-9ad3-4fe8-8c87-c2aae19a404d,MuscleBlaze Product 6,2025-07-14,3,2202.57
MuscleBlaze,MuscleBlaze_Campaign_1,191,66485364-eeea-47f7-9e50-e1ba92bcb123,MuscleBlaze Product 1,2025-07-11,3,4969.34
Gritzo,Gritzo_Campaign_2,254,68bf1bf0-1147-48dc-811e-c1b93bfa47fe,Gritzo Product 4,2025-07-04,4,2734.56
Gritzo,Gritzo_Campaign_3,82,3a5d3900-c9d2-42bf-abd8-1cc222fe4213,Gritzo Product 6,2025-06-21,4,6517.14
MuscleBlaze,MuscleBlaze_Campaign_4,208,a5d290a3-bbae-450b-8d7b-c9166aaef0ef,MuscleBlaze Product 2,2025-07-08,1,1180.2
Gritzo,Gritzo_Campaign_3,68,69107bbf-29b5-441b-a018-d367906b03dd,Gritzo Product 10,2025-05-25,1,1151.03
MuscleBlaze,MuscleBlaze_Campaign_1,127,352769c5-4a27-421c-bb51-513ccb93df0c,MuscleBlaze Product 2,2025-06-26,4,3741.91
HKVitals,HKVitals_Campaign_4,300,997afa7a-e801-499f-9e8b-c91d6af0c85a,HKVitals Product 5,2025-06-03,3,2187.61
Gritzo,Gritzo_Campaign_5,29,5fd50029-25c7-4edf-b512-5fb1b9792c22,Gritzo Product 9,2025-06-14,3,1665.04
Gritzo,Gritzo_Campaign_4,205,f109b94c-9705-4630-8492-d9a38b1f29a9,Gritzo Product 6,2025-07-06,3,4625.02
Gritzo,Gritzo_Campaign_3,81,84f2dbd9-d75f-420e-80fb-bb414fa5ad05,Gritzo Product 3,2025-07-21,3,3342.05
HKVitals,HKVitals_Campaign_2,175,0300493f-6dbc-4cc2-a459-d2bd7a4056a0,HKVitals Product 6,2025-05-30,4,6619.55
MuscleBlaze,MuscleBlaze_Campaign_1,91,5bd75075-7391-4511-824f-5167e8031908,MuscleBlaze Product 7,2025-07-04,3,3380.32
MuscleBlaze,MuscleBlaze_Campaign_2,11,448877b9-446a-43ff-aff4-7c5cd9099696,MuscleBlaze Product 4,2025-07-09,1,1882.59
MuscleBlaze,MuscleBlaze_Campaign_5,85,e43cc9f8-7c0b-4ba5-9e86-d516aff4e9e0,MuscleBlaze Product 1,2025-07-12,3,5682.93
Gritzo,Gritzo_Campaign_1,121,cfb8b3f0-f803-4156-a965-46f6cdd5a1b1,Gritzo Product 3,2025-06-05,2,1703.13
HKVitals,HKVitals_Campaign_4,199,57f0441f-262f-4e68-b516-5aaf0468eb7b,HKVitals Product 1,2025-07-14,1,648.61
Gritzo,Gritzo_Campaign_5,180,d2e6dc49-54b9-4a78-8c9b-8dddc596314b,Gritzo Product 5,2025-06-09,1,1466.65
Gritzo,Gritzo_Campaign_5,295,ba24544c-4823-48ae-ac59-80669ba52f84,Gritzo Product 1,2025-06-30,1,969.21
MuscleBlaze,MuscleBlaze_Campaign_1,202,575c10cb-6972-43e9-b69c-a318b4c8bed4,MuscleBlaze Product 2,2025-05-25,4,4354.03
MuscleBlaze,MuscleBlaze_Campaign_4,256,2bc20c8d-0217-4ae7-8021-1e3c1523a4e4,MuscleBlaze Product 2,2025-07-01,4,4223.5
HKVitals,HKVitals_Campaign_1,153,dad73388-bf3a-45ee-ba68-416851fc0e5d,HKVitals Product 7,2025-07-12,1,904.22
Gritzo,Gritzo_Campaign_4,83,5d427cc6-48c4-4bed-8c02-66397debcaad,Gritzo Product 5,2025-07-20,1,1255.3
Gritzo,Gritzo_Campaign_2,63,8da0871f-27e6-4798-b926-3a656fd70719,Gritzo Product 3,2025-07-11,2,3182.67
Gritzo,Gritzo_Campaign_3,40,3957dde2-62c2-46f2-838b-2f0060cf8ec9,Gritzo Product 1,2025-05-28,2,2670.87
HKVitals,HKVitals_Campaign_5,63,362d06a5-0478-404b-abd6-5c7651088d7e,HKVitals Product 2,2025-05-25,3,5484.49
HKVitals,HKVitals_Campaign_5,88,3ee637b9-495e-433b-bc77-92bb2b7dbdef,HKVitals Product 10,2025-06-27,2,3644.0
Gritzo,Gritzo_Campaign_4,181,1993d17b-2a86-428a-8c26-cedcba01c61a,Gritzo Product 3,2025-06-15,2,1883.83
MuscleBlaze,MuscleBlaze_Campaign_5,281,48d42f1e-54ca-48be-84c9-cdaff54b7139,MuscleBlaze Product 9,2025-05-27,4,2987.13
MuscleBlaze,MuscleBlaze_Campaign_1,170,ccd5a8dd-cddc-47dc-8e8f-dd02bc1cb3cf,MuscleBlaze Product 5,2025-07-12,1,629.32
MuscleBlaze,MuscleBlaze_Campaign_2,194,3f08e434-deb3-4d2e-afd6-91004e528131,MuscleBlaze Product 8,2025-07-20,2,1365.07
Gritzo,Gritzo_Campaign_3,226,64c62eef-f8e0-4790-a1d0-e29710aed760,Gritzo Product 4,2025-06-18,1,720.9
Gritzo,Gritzo_Campaign_3,137,5ee87f29-f71f-498e-8957-679a4c360c77,Gritzo Product 4,2025-07-03,2,3387.7
Gritzo,Gritzo_Campaign_3,73,977d0b03-5c52-4e2a-a62b-a6b879fa9b91,Gritzo Product 7,2025-06-17,2,2981.08
MuscleBlaze,MuscleBlaze_Campaign_5,255,e89aebcf-062d-4de5-97a4-9a18584cdd23,MuscleBlaze Product 1,2025-05-28,2,3264.45
HKVitals,HKVitals_Campaign_4,255,974689de-5f74-46a1-9bde-3001cedcab95,HKVitals Product 4,2025-06-01,1,1290.96
HKVitals,HKVitals_Campaign_1,36,61d00193-0893-4d45-8821-6aa7c91c76d7,HKVitals Product 4,2025-06-23,4,4149.99
MuscleBlaze,MuscleBlaze_Campaign_1,31,f8fa46f6-c923-4784-8b0a-69d4793f27b9,MuscleBlaze Product 2,2025-05-28,4,4026.43
Gritzo,Gritzo_Campaign_2,162,cd5825ab-93fc-4fd6-b28f-f877496dc3dc,Gritzo Product 8,2025-06-19,2,1782.39
MuscleBlaze,MuscleBlaze_Campaign_1,141,244407ef-3bd0-41ce-819e-5d135cdb5020,MuscleBlaze Product 9,2025-05-26,4,7569.08
Gritzo,Gritzo_Campaign_3,115,bcac3d57-7d9b-4208-88f3-ab4ac95767b8,Gritzo Product 2,2025-06-13,2,1525.25
Gritzo,Gritzo_Campaign_4,173,70f2ca9c-dccb-4c4b-85fb-ecebd39e13e6,Gritzo Product 4,2025-06-03,4,2547.67
HKVitals,HKVitals_Campaign_4,124,9d2afca6-55d2-460c-b211-31976fbfe40c,HKVitals Product 5,2025-06-17,2,2822.76
MuscleBlaze,MuscleBlaze_Campaign_2,39,d68b79b6-f412-4d25-a590-de23f947ee88,MuscleBlaze Product 2,2025-07-16,4,4667.63
MuscleBlaze,MuscleBlaze_Campaign_3,181,337df422-f444-4167-8662-31bdd975f5a0,MuscleBlaze Product 5,2025-06-08,1,1752.4
Gritzo,Gritzo_Campaign_4,149,1d095c4b-b869-414a-8d84-e381b6da8f8f,Gritzo Product 6,2025-07-17,3,3788.99
Gritzo,Gritzo_Campaign_1,278,61380943-9e2c-4280-8c89-bfd4362060b7,Gritzo Product 2,2025-06-09,4,4793.91
MuscleBlaze,MuscleBlaze_Campaign_2,258,0e45e9c5-bcfa-4346-9e8c-c3998d36484e,MuscleBlaze Product 1,2025-07-06,4,3680.07
Gritzo,Gritzo_Campaign_3,225,74cd5656-5571-4e14-a013-2b9983180e29,Gritzo Product 3,2025-05-27,3,3972.64
HKVitals,HKVitals_Campaign_5,124,181b5e4e-9060-4c03-a6b1-f597d134b234,HKVitals Product 8,2025-05-30,4,4953.8
HKVitals,HKVitals_Campaign_3,110,cda9bf9b-6988-4583-b305-4bdb509a2b1f,HKVitals Product 2,2025-06-14,2,1057.79
HKVitals,HKVitals_Campaign_1,220,6ba021e4-56d6-483e-b870-c5bcbf20f378,HKVitals Product 3,2025-06-20,4,2801.37
HKVitals,HKVitals_Campaign_4,132,95ee6e87-2a96-4520-b80a-accbbc2a2a76,HKVitals Product 7,2025-05-25,4,5915.1
HKVitals,HKVitals_Campaign_4,96,4c70cd25-2d73-4cfb-b8ae-361051e2fe00,HKVitals Product 7,2025-07-05,4,5555.58
HKVitals,HKVitals_Campaign_1,80,19333007-ec9e-4e94-ab87-a8c9592984a0,HKVitals Product 3,2025-06-15,3,4355.05
MuscleBlaze,MuscleBlaze_Campaign_2,186,1fbdf26e-34d0-4ac8-aed4-0011387e88da,MuscleBlaze Product 1,2025-07-21,3,4077.15
MuscleBlaze,MuscleBlaze_Campaign_5,165,8abdabf9-5e16-44b8-a8fe-3df7e98dce1f,MuscleBlaze Product 7,2025-06-03,1,1812.09
HKVitals,HKVitals_Campaign_4,245,f6d1f4ae-a0bd-40c8-8ffa-0b2f59dd6aec,HKVitals Product 10,2025-06-17,4,7328.2
MuscleBlaze,MuscleBlaze_Campaign_4,291,f65efc6e-fdaa-4dc9-8429-1e47bc21613d,MuscleBlaze Product 10,2025-06-13,3,4163.04
HKVitals,HKVitals_Campaign_1,87,7f136da1-9ec7-49ff-a6f4-613e7f17183a,HKVitals Product 10,2025-07-11,2,1376.39
Gritzo,Gritzo_Campaign_4,78,9d293b3b-55ea-44ca-b872-f34fc0231d06,Gritzo Product 3,2025-06-14,4,2534.79
HKVitals,HKVitals_Campaign_4,97,ea196ebc-01c1-49ad-97cc-a807810ab97c,HKVitals Product 2,2025-06-26,4,4430.42
HKVitals,HKVitals_Campaign_1,17,fd3d5aed-d313-44cc-b949-97778450c942,HKVitals Product 1,2025-07-07,3,4977.77
HKVitals,HKVitals_Campaign_1,258,fa77ff59-7f74-4f5c-9251-c641b0452e9b,HKVitals Product 6,2025-06-27,3,2463.6
Gritzo,Gritzo_Campaign_5,75,e6ce4427-00d0-4112-a32f-bf1b9195a57d,Gritzo Product 9,2025-07-09,4,5286.79
Gritzo,Gritzo_Campaign_2,169,3acd844f-a70d-480e-8112-e1f0c804495a,Gritzo Product 10,2025-06-30,4,6389.76
Gritzo,Gritzo_Campaign_5,273,36416d16-7f5e-4654-b1af-cc6cfb447d50,Gritzo Product 6,2025-05-23,4,2583.82
Gritzo,Gritzo_Campaign_1,107,30eca296-945b-443e-ba85-c16caeccb60c,Gritzo Product 10,2025-07-11,1,1734.04
